order_id,product_name,qty
117,[Aronia] 有機野櫻莓果醬(無添加糖) (225g/罐),2
118,[Aronia] 有機野櫻莓果醬(無添加糖) (225g/罐),1
137,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
138,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐),2
139,[Prize Snack] 爆米圓餅-鹽味米脆餅 (80g/罐) {賞味期限: 2018-09-28},1
140,[Prize Snack] 爆米圓餅-鹽味米脆餅 (80g/罐) {賞味期限: 2018-09-28},1
141,[東和製油] 無加糖原味花生醬 (180g/罐),1
142,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐),1
143,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},2
144,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐),2
145,[Prize Snack] 爆米圓餅-鹽味米脆餅 (80g/罐) {賞味期限: 2018-09-28},1
146,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},2
147,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐),3
147,[Prize Snack] 爆米圓餅-鹽味米脆餅 (80g/罐) {賞味期限: 2018-09-28},1
147,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
148,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
148,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐),1
154,[Prize Snack] 爆米圓餅-鹽味米脆餅 (80g/罐) {賞味期限: 2018-09-28},1
155,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
156,hh,1
156,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
156,[東和製油] 無加糖原味花生醬 (180g/罐),1
157,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
158,[東和製油] 花生醬 微甜 (180g/罐),2
159,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
160,[Aronia] 有機野櫻莓果醬(無添加糖) (225g/罐) {賞味期限: 2019-09-22},2
161,hh,1
161,[137 degrees] 測試堅果奶,1
162,[137 degrees] 測試堅果奶,2
162,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
163,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},3
164,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},2
164,[137 degrees] 測試堅果奶,1
184,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐) {賞味期限: 2018-10-05},1
184,[137 degrees] 原味杏仁堅果奶 (180ml/罐) {賞味期限: 2018-09-11},2
184,[澳思] 初榨椰子油 (650ml/罐) {賞味期限: 2019-08-23},1
